,WEO Country Code,ISO,WEO Subject Code,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
1596,924,CHN,PPPSH,China,12.545,13.244,13.843,14.446,14.999,15.536,16.093,16.587,16.999,17.502,18.363,18.477,18.389,18.746,19.053,19.288,19.449,19.535,19.59,19.635
1597,924,CHN,PPPEX,China,3.714,3.937,3.99,4.027,3.996,3.961,3.958,4.04,4.094,4.06,4.015,3.987,3.796,3.642,3.547,3.549,3.553,3.558,3.564,3.569
1598,924,CHN,NID_NGDP,China,46.968,47.029,46.186,46.136,45.612,43.033,42.655,43.172,43.961,43.068,42.857,43.289,43.227,41.555,41.994,41.784,41.871,41.853,41.775,41.707
1599,924,CHN,NGSD_NGDP,China,50.909,48.846,48.708,47.676,47.855,45.669,44.359,44.71,44.136,43.786,44.531,45.276,45.711,42.98,43.437,43.406,43.338,43.212,43.025,42.857
1600,924,CHN,PCPI,China,87.056,91.772,94.176,96.65,98.578,100,101.996,103.606,105.774,108.847,111.559,112.582,114.806,115.067,115.553,117.471,119.835,122.183,124.656,127.156
1601,924,CHN,PCPIPCH,China,3.329,5.416,2.62,2.627,1.994,1.443,1.996,1.579,2.093,2.905,2.491,0.917,1.975,0.228,0.422,1.66,2.012,1.959,2.024,2.005
1602,924,CHN,PCPIE,China,89.308,92.964,95.319,97.694,99.159,100.798,102.71,104.59,106.586,111.307,111.617,113.258,115.303,115.004,116.133,118.502,120.871,123.304,125.785,128.324
1603,924,CHN,PCPIEPCH,China,4.512,4.094,2.533,2.492,1.499,1.653,1.896,1.831,1.909,4.429,0.279,1.471,1.806,-0.26,0.982,2.04,1.999,2.013,2.012,2.018
1604,924,CHN,TM_RPCH,China,23.094,13.422,6.591,10.647,7.774,-0.438,4.387,6.232,7.345,-1.743,-6.684,10.451,-2.103,6.183,6.959,4.379,3.9,3.7,3.6,3.5
1605,924,CHN,TMG_RPCH,China,23.377,11.734,5.793,9.702,3.717,-0.67,5.432,7.297,8.588,0.44,0.002,10.666,-5.73,2.273,3.796,2.794,3.566,3.266,3.112,2.955
1606,924,CHN,TX_RPCH,China,28.461,10.964,5.882,8.76,4.295,-2.156,0.679,6.954,4.249,1.957,-3.15,18.517,-0.241,1.806,8.437,3.656,3,3,3,3
1607,924,CHN,TXG_RPCH,China,29.045,11.164,6.79,9.583,4.306,-2.281,1.293,8.604,4.011,-0.287,4.781,16.22,-3.212,3.211,8.181,3.738,2.809,2.806,2.802,2.798
1608,924,CHN,LUR,China,,,,,,,,5,4.93,5.15,5.617,5.117,5.583,5.217,5.1,5.1,5.1,5.1,5.1,5.1
1609,924,CHN,LE,China,,,,,,,,,,,,,,,,,,,,
1610,924,CHN,LP,China,1340.91,1349.16,1359.22,1367.26,1376.46,1383.26,1392.32,1400.11,1405.41,1410.08,1412.12,1412.6,1411.75,1409.67,1409.05,1408.092,1406.81,1405.221,1403.323,1401.429
1611,924,CHN,GGR,China,10103.313,13081.104,15016.042,16535.608,18237.211,20076.7,21576.953,24232.569,26551.455,27790.093,26342.871,30511.65,31233.127,32991.646,34747.351,37183.801,39772.525,42305.096,44855.633,47402.036
1612,924,CHN,GGR_NGDP,China,24.732,27.021,27.857,27.728,28.207,29.009,28.924,29.232,28.993,28.051,25.685,26.641,25.974,26.226,26.426,26.568,26.768,26.959,27.11,27.196
1613,924,CHN,GGX,China,10251.183,13128.594,15178.679,17034.245,18678.819,21837.06,24107.253,27053.988,30474.167,33835.277,36310.049,37434.933,40260.431,41728.905,44519.579,47760.862,51278.898,54693.71,58207.809,61759.865
1614,924,CHN,GGX_NGDP,China,25.094,27.119,28.159,28.564,28.89,31.552,32.316,32.635,33.277,34.153,35.403,32.686,33.481,33.171,33.858,34.126,34.512,34.854,35.18,35.434
1615,924,CHN,GGXCNL,China,-147.87,-47.49,-162.637,-498.637,-441.608,-1760.36,-2530.3,-2821.419,-3922.712,-6045.184,-9967.178,-6923.283,-9027.304,-8737.259,-9772.228,-10577.061,-11506.372,-12388.613,-13352.175,-14357.829
1616,924,CHN,GGXCNL_NGDP,China,-0.362,-0.098,-0.302,-0.836,-0.683,-2.544,-3.392,-3.403,-4.283,-6.102,-9.718,-6.045,-7.507,-6.945,-7.432,-7.557,-7.744,-7.895,-8.07,-8.238
1617,924,CHN,GGSB,China,-352.718,-240.97,-191.251,-546.68,-458.427,-1568.211,-2356.293,-2675.146,-3789.288,-5764.476,-8869.558,-6583.922,-8127.584,-8063.96,-9350.195,-10390.207,-11506.372,-12388.613,-13352.175,-14357.829
1618,924,CHN,GGSB_NPGDP,China,-0.881,-0.505,-0.355,-0.919,-0.71,-2.244,-3.133,-3.208,-4.117,-5.76,-8.302,-5.685,-6.57,-6.282,-7.026,-7.387,-7.744,-7.895,-8.07,-8.238
1619,924,CHN,GGXONLB,China,36.554,190.918,100.938,-193.016,-82.938,-1405.501,-2022.806,-2194.112,-3182.44,-5200.931,-8985.916,-5878.558,-7892.039,-7554.359,-8427.602,-8896.96,-9444.215,-9881.593,-10330.152,-10866.813
1620,924,CHN,GGXONLB_NGDP,China,0.089,0.394,0.187,-0.324,-0.128,-2.031,-2.712,-2.647,-3.475,-5.25,-8.761,-5.133,-6.563,-6.005,-6.409,-6.357,-6.356,-6.297,-6.243,-6.235
1621,924,CHN,GGXWDN,China,,,,,,,,,,,,,,,,,,,,
